Date,Close
4/6/2023 16:00:00,0.06
4/10/2023 16:00:00,0.06
4/11/2023 16:00:00,0.06
4/12/2023 16:00:00,0.07
4/14/2023 16:00:00,0.06
4/17/2023 16:00:00,0.06
4/20/2023 16:00:00,0.06
4/21/2023 16:00:00,0.08
4/24/2023 16:00:00,0.05
4/25/2023 16:00:00,0.05
4/26/2023 16:00:00,0.06
4/27/2023 16:00:00,0.06
5/1/2023 16:00:00,0.06
5/2/2023 16:00:00,0.06
5/4/2023 16:00:00,0.06
5/5/2023 16:00:00,0.08
5/11/2023 16:00:00,0.06
5/12/2023 16:00:00,0.06
5/15/2023 16:00:00,0.08
5/16/2023 16:00:00,0.08
5/17/2023 16:00:00,0.07
5/22/2023 16:00:00,0.09
5/23/2023 16:00:00,0.08
5/26/2023 16:00:00,0.05
5/30/2023 16:00:00,0.05
6/5/2023 16:00:00,0.05
6/6/2023 16:00:00,0.08
6/12/2023 16:00:00,0.04
6/13/2023 16:00:00,0.06
6/16/2023 16:00:00,0.14
6/20/2023 16:00:00,0.08
6/21/2023 16:00:00,0.06
6/22/2023 16:00:00,0.07
6/23/2023 16:00:00,0.06
6/26/2023 16:00:00,0.1
6/28/2023 16:00:00,0.08
6/29/2023 16:00:00,0.1
6/30/2023 16:00:00,0.17
7/3/2023 13:05:00,0.08
7/5/2023 16:00:00,0.07
7/6/2023 16:00:00,0.11
7/10/2023 16:00:00,0.09
7/12/2023 16:00:00,0.08
7/17/2023 16:00:00,0.07
7/18/2023 16:00:00,0.07
7/19/2023 16:00:00,0.06
7/21/2023 16:00:00,0.06
7/25/2023 16:00:00,0.05
7/26/2023 16:00:00,0.07
7/27/2023 16:00:00,0.07
7/28/2023 16:00:00,0.07
7/31/2023 16:00:00,0.04
8/1/2023 16:00:00,0.06
8/4/2023 16:00:00,0.05
8/7/2023 16:00:00,0.06
8/8/2023 16:00:00,0.06
8/16/2023 16:00:00,0.08
8/17/2023 16:00:00,0.07
8/18/2023 16:00:00,0.07
8/21/2023 16:00:00,0.05
8/22/2023 16:00:00,0.04
8/23/2023 16:00:00,0.09
8/24/2023 16:00:00,0.05
8/25/2023 16:00:00,0.1
8/28/2023 16:00:00,0.06
8/31/2023 16:00:00,0.06
9/6/2023 16:00:00,0.05
9/7/2023 16:00:00,0.07
9/8/2023 16:00:00,0.06
9/11/2023 16:00:00,0.06
9/13/2023 16:00:00,0.05
9/14/2023 16:00:00,0.05
9/15/2023 16:00:00,0.05
9/18/2023 16:00:00,0.05
9/19/2023 16:00:00,0.04
9/20/2023 16:00:00,0.05
9/25/2023 16:00:00,0.05
9/26/2023 16:00:00,0.05
9/28/2023 16:00:00,0.07
10/2/2023 16:00:00,0.05
10/3/2023 16:00:00,0.05
10/12/2023 16:00:00,0.04
10/13/2023 16:00:00,0.04
10/16/2023 16:00:00,0.05
10/17/2023 16:00:00,0.05
10/19/2023 16:00:00,0.07
10/20/2023 16:00:00,0.04
10/23/2023 16:00:00,0.03
10/24/2023 16:00:00,0.03
10/25/2023 16:00:00,0.03
10/26/2023 16:00:00,0.03
10/27/2023 16:00:00,0.03
10/30/2023 16:00:00,0.05
10/31/2023 16:00:00,0.04
11/1/2023 16:00:00,0.03
11/2/2023 16:00:00,0.04
11/6/2023 16:00:00,0.04
11/7/2023 16:00:00,0.03
11/8/2023 16:00:00,0.03
11/9/2023 16:00:00,0.03
11/14/2023 16:00:00,0.03
11/15/2023 16:00:00,0.03
11/16/2023 16:00:00,0.03
11/21/2023 16:00:00,0.03
11/22/2023 16:00:00,0.02
11/24/2023 13:05:00,0.04
11/27/2023 16:00:00,0.04
11/28/2023 16:00:00,0.03
11/30/2023 16:00:00,0.04
12/1/2023 16:00:00,0.04
12/4/2023 16:00:00,0.04
12/5/2023 16:00:00,0.04
12/6/2023 16:00:00,0.04
12/7/2023 16:00:00,0.03
12/8/2023 16:00:00,0.04
12/11/2023 16:00:00,0.04
12/12/2023 16:00:00,0.05
12/14/2023 16:00:00,0.04
12/15/2023 16:00:00,0.03
12/19/2023 16:00:00,0.04
12/20/2023 16:00:00,0.03
12/22/2023 16:00:00,0.03
12/26/2023 16:00:00,0.03
12/27/2023 16:00:00,0.05
12/28/2023 16:00:00,0.07
12/29/2023 16:00:00,0.07
1/2/2024 16:00:00,0.06
1/3/2024 16:00:00,0.05
1/4/2024 16:00:00,0.08
1/5/2024 16:00:00,0.06
1/8/2024 16:00:00,0.06
1/9/2024 16:00:00,0.06
1/10/2024 16:00:00,0.05
1/11/2024 16:00:00,0.05
1/12/2024 16:00:00,0.06
1/16/2024 16:00:00,0.04
1/17/2024 16:00:00,0.05
1/18/2024 16:00:00,0.03
1/19/2024 16:00:00,0.04
1/22/2024 16:00:00,0.05
1/23/2024 16:00:00,0.05
1/24/2024 16:00:00,0.05
1/25/2024 16:00:00,0.04
1/26/2024 16:00:00,0.04
1/29/2024 16:00:00,0.04
1/30/2024 16:00:00,0.04
1/31/2024 16:00:00,0.02
2/1/2024 16:00:00,0.02
2/2/2024 16:00:00,0.03
2/5/2024 16:00:00,0.02
2/6/2024 16:00:00,0.02
2/7/2024 16:00:00,0.02
2/8/2024 16:00:00,0.02
2/9/2024 16:00:00,0.02
2/12/2024 16:00:00,0.02
2/13/2024 16:00:00,0.02
2/14/2024 16:00:00,0.02
2/15/2024 16:00:00,0.02
2/16/2024 16:00:00,0.03
2/20/2024 16:00:00,0.03
2/21/2024 16:00:00,0.03
2/22/2024 16:00:00,0.03
2/23/2024 16:00:00,0.03
2/26/2024 16:00:00,0.03
2/27/2024 16:00:00,0.02
2/28/2024 16:00:00,0.02
2/29/2024 16:00:00,0.02
3/1/2024 16:00:00,0.02
3/4/2024 16:00:00,0.02
3/5/2024 16:00:00,0.02
3/6/2024 16:00:00,0.06
3/7/2024 16:00:00,0.07
3/8/2024 16:00:00,0.07
3/11/2024 16:00:00,0.06
3/12/2024 16:00:00,0.05
3/13/2024 16:00:00,0.05
3/14/2024 16:00:00,0.06
3/15/2024 16:00:00,0.06
3/18/2024 16:00:00,0.06
3/19/2024 16:00:00,0.05
3/20/2024 16:00:00,0.05
3/21/2024 16:00:00,0.06
3/22/2024 16:00:00,0.05
3/25/2024 16:00:00,0.05
3/26/2024 16:00:00,0.05
3/27/2024 16:00:00,0.05
3/28/2024 16:00:00,0.05
4/1/2024 16:00:00,0.06
4/3/2024 16:00:00,0.05
4/5/2024 16:00:00,0.06
4/8/2024 16:00:00,0.05
4/9/2024 16:00:00,0.05
4/10/2024 16:00:00,0.05
4/11/2024 16:00:00,0.04
4/12/2024 16:00:00,0.04
4/15/2024 16:00:00,0.04
4/19/2024 16:00:00,0.04
4/22/2024 16:00:00,0.06
4/23/2024 16:00:00,0.06
4/24/2024 16:00:00,0.06
4/25/2024 16:00:00,0.06
4/26/2024 16:00:00,0.05
4/29/2024 16:00:00,0.04
4/30/2024 16:00:00,0.05
5/1/2024 16:00:00,0.04
5/2/2024 16:00:00,0.04
5/3/2024 16:00:00,0.04
5/8/2024 16:00:00,0.05
5/9/2024 16:00:00,0.05
5/13/2024 16:00:00,0.04
5/14/2024 16:00:00,0.04
5/15/2024 16:00:00,0.05
5/17/2024 16:00:00,0.07
5/20/2024 16:00:00,0.05
5/21/2024 16:00:00,0.04
5/22/2024 16:00:00,0.03
5/23/2024 16:00:00,0.04
5/24/2024 16:00:00,0.04
5/28/2024 16:00:00,0.04
5/29/2024 16:00:00,0.04
6/4/2024 16:00:00,0.03
6/6/2024 16:00:00,0.02
6/10/2024 16:00:00,0.04
6/11/2024 16:00:00,0.03
6/12/2024 16:00:00,0.04
6/13/2024 16:00:00,0.02
6/14/2024 16:00:00,0.02
